Code,Category,A/C group,Sales office,Name,City,Search term,Status,TPC code
61,2,2,1600,Lavleen,Jaipur,Lavleen-Jaipur,1,
62,3,3,1700,Lipi,Delhi,Lipi-Delhi,1,
63,2,1,1800,Lipika,Mumbai,Lipika-Mumbai,1,
64,5,3,1000,Madhuri,Delhi,Madhuri-Delhi,2,
65,4,3,1100,Mallika,Hyderābād,Mallika-Hyderābād,1,
66,1,1,1200,Mansi,Kolkāta,Mansi-Kolkāta,1,
67,2,2,1300,Mayuari,Mumbai,Mayuari-Mumbai,1,
68,4,2,1400,Mehar,Pune,Mehar-Pune,1,
69,6,2,1500,Mridul,Ahmedabad,Mridul-Ahmedabad,2,
70,6,1,1600,Naina,Sūrat,Naina-Sūrat,2,
71,3,1,1700,Nandini,Prayagraj,Nandini-Prayagraj,2,
72,4,1,1800,Neeta,Lucknow,Neeta-Lucknow,1,
73,1,1,1000,Neharika,Delhi,Neharika-Delhi,2,
74,4,1,1100,Nidhi,Hyderābād,Nidhi-Hyderābād,1,
75,1,2,1200,Niyati,Kolkāta,Niyati-Kolkāta,1,
76,6,3,1300,Nupur,Mumbai,Nupur-Mumbai,2,
77,4,2,1400,Ojaswini,Bangalore,Ojaswini-Bangalore,2,
78,4,3,1500,Palak,Chennai,Palak-Chennai,1,
79,1,2,1600,Pallavi,Hyderābād,Pallavi-Hyderābād,1,
80,6,2,1700,Pari,Pune,Pari-Pune,1,
81,1,2,1800,Prajakta,Ahmedabad,Prajakta-Ahmedabad,2,
82,2,2,1000,Pratibha,Delhi,Pratibha-Delhi,1,
83,3,2,1100,Praveen,Hyderābād,Praveen-Hyderābād,1,
84,5,1,1200,Preeti,Kolkāta,Preeti-Kolkāta,2,
85,6,2,1300,Prerena,Mumbai,Prerena-Mumbai,1,
86,1,2,1400,Priya,Jaipur,Priya-Jaipur,1,
87,3,3,1500,Raakhi,Delhi,Raakhi-Delhi,1,
88,4,3,1600,Raashi,Mumbai,Raashi-Mumbai,2,
89,1,2,1700,Radha,Kolkāta,Radha-Kolkāta,1,
90,3,3,1800,Ragini,Bangalore,Ragini-Bangalore,2,
91,4,2,1000,Rajni,Delhi,Rajni-Delhi,1,
92,2,1,1100,Riya,Hyderābād,Riya-Hyderābād,2,
93,5,1,1200,Ruhi,Kolkāta,Ruhi-Kolkāta,2,
94,4,2,1300,Sachi,Mumbai,Sachi-Mumbai,1,
95,6,2,1400,Saloni,Sūrat,Saloni-Sūrat,2,
96,5,1,1500,Sejal,Prayagraj,Sejal-Prayagraj,1,
97,5,3,1600,Shagun,Lucknow,Shagun-Lucknow,1,
98,4,1,1700,Shefali,Jaipur,Shefali-Jaipur,2,
99,3,3,1800,Shilpa,Jaipur,Shilpa-Jaipur,2,
100,4,1,1000,Vasudha,Delhi,Vasudha-Delhi,1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
