Code,Category,A/C group,Sales office,Name,City,Search term,Status,TPC code
35,EXP-CONS,ZEND,Sales office North,Grace,Lucknow,Grace-Lucknow,1,
36,EXP-CONS,ZEND,Sales office North,Isla,Jaipur,Isla-Jaipur,1,
37,EXP-CONS,ZEND,Sales office North,Willow,Delhi,Willow-Delhi,1,
38,EXP-CONS,ZEND,Sales office North,Zoe,Hyderābād,Zoe-Hyderābād,1,
39,EXP-CONS,ZEND,Sales office North,Riley,Kolkāta,Riley-Kolkāta,1,
40,EXP-CONS,ZEND,Sales office North,Stella,Mumbai,Stella-Mumbai,1,
41,EXP-CUST,ZDOM,Sales office North,Eliana,Bangalore,Eliana-Bangalore,1,
42,EXP-CUST,ZDOM,Sales office North,Ivy,Chennai,Ivy-Chennai,1,
43,EXP-CUST,ZDOM,Sales office North,Victoria,Hyderābād,Victoria-Hyderābād,1,
44,EXP-CUST,ZDOM,Sales office North,Emilia,Pune,Emilia-Pune,1,
45,EXP-CUST,ZDOM,Sales office North,Zoey,Ahmedabad,Zoey-Ahmedabad,1,
46,EXP-CUST,ZDOM,Sales office North,Naomi,Delhi,Naomi-Delhi,1,
47,EXP-CUST,ZDOM,Sales office North,Hannah,Hyderābād,Hannah-Hyderābād,1,
48,EXP-CUST,ZDOM,Sales office North,Lucy,Kolkāta,Lucy-Kolkāta,1,
49,EXP-CUST,ZDOM,Sales office North,Elena,Mumbai,Elena-Mumbai,1,
50,EXP-CUST,ZDOM,Sales office North,Lillian,Delhi,Lillian-Delhi,1,
51,INTERDIV_CUST,ZDOM,Sales office North,Maya,Mumbai,Maya-Mumbai,1,
52,INTERDIV_CUST,ZDOM,Sales office North,Leah,Kolkāta,Leah-Kolkāta,1,
53,INTERDIV_CUST,ZDOM,Sales office North,Paisley,Bangalore,Paisley-Bangalore,1,
54,INTERDIV_CUST,ZDOM,Sales office North,Addison,Chennai,Addison-Chennai,1,
55,INTERDIV_CUST,ZDOM,Sales office North,Natalie,Delhi,Natalie-Delhi,1,
56,INTERDIV_CUST,ZDOM,Sales office North,Valentina,Hyderābād,Valentina-Hyderābād,1,
57,INTERDIV_CUST,ZDOM,Sales office North,Everly,Kolkāta,Everly-Kolkāta,1,
58,INTERDIV_CUST,ZDOM,Sales office North,Delilah,Mumbai,Delilah-Mumbai,1,
59,INTERDIV_CUST,ZDOM,Sales office North,Leilani,Prayagraj,Leilani-Prayagraj,1,
60,INTERDIV_CUST,ZDOM,Sales office North,Madelyn,Lucknow,Madelyn-Lucknow,1,
61,DOM-CONS,ZDOM,Sales office South,Kinsley,Jaipur,Kinsley-Jaipur,1,
62,DOM-CONS,ZEXP,Sales office South,Ruby,Delhi,Ruby-Delhi,1,
63,DOM-CONS,ZEXP,Sales office South,Sophie,Mumbai,Sophie-Mumbai,1,
64,DOM-CONS,ZEXP,Sales office South,Alice,Delhi,Alice-Delhi,1,
65,DOM-CONS,ZEXP,Sales office South,Genesis,Hyderābād,Genesis-Hyderābād,1,
66,DOM-CONS,ZEXP,Sales office South,Claire,Kolkāta,Claire-Kolkāta,1,
67,DOM-CONS,ZEXP,Sales office South,Audrey,Mumbai,Audrey-Mumbai,1,
68,DOM-CONS,ZEXP,Sales office South,Sadie,Pune,Sadie-Pune,1,
69,DOM-CONS,ZEXP,Sales office South,Aaliyah,Ahmedabad,Aaliyah-Ahmedabad,1,
70,DOM-CONS,ZEXP,Sales office South,Josephine,Sūrat,Josephine-Sūrat,1,
71,DOM-CUST,ZEXP,Sales office South,Autumn,Prayagraj,Autumn-Prayagraj,1,
72,DOM-CUST,ZEXP,Sales office South,Brooklyn,Lucknow,Brooklyn-Lucknow,1,
73,DOM-CUST,ZEXP,Sales office South,Quinn,Delhi,Quinn-Delhi,1,
74,DOM-CUST,ZEXP,Sales office South,Kennedy,Hyderābād,Kennedy-Hyderābād,1,
75,DOM-CUST,ZEXP,Sales office South,Cora,Kolkāta,Cora-Kolkāta,1,
76,DOM-CUST,ZEXP,Sales office South,Savannah,Mumbai,Savannah-Mumbai,1,
77,DOM-CUST,ZEXP,Sales office South,Caroline,Bangalore,Caroline-Bangalore,1,
78,DOM-CUST,ZEXP,Sales office South,Athena,Chennai,Athena-Chennai,1,
79,DOM-CUST,ZEXP,Sales office South,Natalia,Hyderābād,Natalia-Hyderābād,1,
80,DOM-CUST,ZEXP,Sales office South,Hailey,Pune,Hailey-Pune,1,
81,END-USE,ZEXP,Sales office South,Aubrey,Ahmedabad,Aubrey-Ahmedabad,1,
82,END-USE,ZEND,Sales office South,Emery,Delhi,Emery-Delhi,1,
83,END-USE,ZEND,Sales office South,Anna,Hyderābād,Anna-Hyderābād,1,
84,END-USE,ZEND,Sales office South,Iris,Kolkāta,Iris-Kolkāta,1,
85,END-USE,ZEND,Sales office South,Bella,Mumbai,Bella-Mumbai,1,
86,END-USE,ZEND,Sales office South,Eloise,Jaipur,Eloise-Jaipur,1,
87,END-USE,ZEND,Sales office South,Skylar,Delhi,Skylar-Delhi,1,
88,END-USE,ZEND,Sales office South,Jade,Mumbai,Jade-Mumbai,1,
89,END-USE,ZEND,Sales office South,Gabriella,Kolkāta,Gabriella-Kolkāta,1,
90,END-USE,ZEND,Sales office South,Ariana,Bangalore,Ariana-Bangalore,1,
91,EXP-CONS,ZEND,Sales office South,Maria,Delhi,Maria-Delhi,1,
92,EXP-CONS,ZEND,Sales office South,Adeline,Hyderābād,Adeline-Hyderābād,1,
93,EXP-CONS,ZEND,Sales office South,Lydia,Kolkāta,Lydia-Kolkāta,1,
94,EXP-CONS,ZEND,Sales office South,Sarah,Mumbai,Sarah-Mumbai,1,
95,EXP-CONS,ZEND,Sales office South,Nevaeh,Sūrat,Nevaeh-Sūrat,1,
96,EXP-CONS,ZEND,Sales office South,Serenity,Prayagraj,Serenity-Prayagraj,1,
97,EXP-CONS,ZEND,Sales office South,Liliana,Lucknow,Liliana-Lucknow,1,
98,EXP-CONS,ZEND,Sales office South,Ayla,Jaipur,Ayla-Jaipur,1,
99,EXP-CONS,ZEND,Sales office South,Everleigh,Jaipur,Everleigh-Jaipur,1,
100,EXP-CONS,ZEND,Sales office South,Raelynn,Delhi,Raelynn-Delhi,1,
101,EXP-CUST,ZEND,Sales office South,Allison,Delhi,Allison-Delhi,1,
102,EXP-CUST,ZDOM,Sales office South,Madeline,Hyderābād,Madeline-Hyderābād,1,
103,EXP-CUST,ZDOM,Sales office South,Vivian,Kolkāta,Vivian-Kolkāta,1,
104,EXP-CUST,ZDOM,Sales office South,Maeve,Mumbai,Maeve-Mumbai,1,
105,EXP-CUST,ZDOM,Sales office South,Lyla,Chennai,Lyla-Chennai,1,
106,EXP-CUST,ZDOM,Sales office South,Samantha,Hyderābād,Samantha-Hyderābād,1,
107,EXP-CUST,ZDOM,Sales office South,Rylee,Pune,Rylee-Pune,1,
108,EXP-CUST,ZDOM,Sales office South,Eva,Ahmedabad,Eva-Ahmedabad,1,
109,EXP-CUST,ZDOM,Sales office South,Melody,Sūrat,Melody-Sūrat,1,
110,EXP-CUST,ZDOM,Sales office South,Clara,Delhi,Clara-Delhi,1,
111,INTERDIV_CUST,ZDOM,Sales office South,Hadley,Hyderābād,Hadley-Hyderābād,1,
112,INTERDIV_CUST,ZDOM,Sales office South,Julia,Kolkāta,Julia-Kolkāta,1,
113,INTERDIV_CUST,ZDOM,Sales office South,Piper,Mumbai,Piper-Mumbai,1,
114,INTERDIV_CUST,ZDOM,Sales office South,Juniper,Mumbai,Juniper-Mumbai,1,
115,INTERDIV_CUST,ZDOM,Sales office South,Parker,Kolkāta,Parker-Kolkāta,1,
116,INTERDIV_CUST,ZDOM,Sales office South,Brielle,Bangalore,Brielle-Bangalore,1,
117,INTERDIV_CUST,ZDOM,Sales office South,Eden,Chennai,Eden-Chennai,1,
118,INTERDIV_CUST,ZDOM,Sales office South,Remi,Hyderābād,Remi-Hyderābād,1,
119,INTERDIV_CUST,ZDOM,Sales office South,Josie,Delhi,Josie-Delhi,1,
120,INTERDIV_CUST,ZDOM,Sales office East,Rose,Hyderābād,Rose-Hyderābād,1,
121,DOM-CONS,ZDOM,Sales office East,Arya,Kolkāta,Arya-Kolkāta,1,
122,DOM-CONS,ZDOM,Sales office East,Eliza,Mumbai,Eliza-Mumbai,1,
123,DOM-CONS,ZEXP,Sales office East,Charlie,Lucknow,Charlie-Lucknow,1,
124,DOM-CONS,ZEXP,Sales office East,Peyton,Jaipur,Peyton-Jaipur,1,
125,DOM-CONS,ZEXP,Sales office East,Daisy,Delhi,Daisy-Delhi,1,
126,DOM-CONS,ZEXP,Sales office East,Lucia,Mumbai,Lucia-Mumbai,1,
127,DOM-CONS,ZEXP,Sales office East,Millie,Kolkāta,Millie-Kolkāta,1,
128,DOM-CONS,ZEXP,Sales office East,Margaret,Delhi,Margaret-Delhi,1,
129,DOM-CONS,ZEXP,Sales office East,Freya,Hyderābād,Freya-Hyderābād,1,
130,DOM-CONS,ZEXP,Sales office East,Melanie,Kolkāta,Melanie-Kolkāta,1,
131,DOM-CUST,ZEXP,Sales office East,Elliana,Mumbai,Elliana-Mumbai,1,
132,DOM-CUST,ZEXP,Sales office East,Adalynn,Ahmedabad,Adalynn-Ahmedabad,1,
133,DOM-CUST,ZEXP,Sales office East,Alina,Sūrat,Alina-Sūrat,1,
134,DOM-CUST,ZEXP,Sales office East,Emersyn,Prayagraj,Emersyn-Prayagraj,1,
135,DOM-CUST,ZEXP,Sales office East,Sienna,Lucknow,Sienna-Lucknow,1,
136,DOM-CUST,ZEXP,Sales office East,Mary,Jaipur,Mary-Jaipur,1,
137,DOM-CUST,ZEXP,Sales office East,Isabelle,Delhi,Isabelle-Delhi,1,
138,DOM-CUST,ZEXP,Sales office East,Alaia,Hyderābād,Alaia-Hyderābād,1,
139,DOM-CUST,ZEXP,Sales office East,Esther,Kolkāta,Esther-Kolkāta,1,
140,DOM-CUST,ZEXP,Sales office East,Sloane,Mumbai,Sloane-Mumbai,1,
141,END-USE,ZEXP,Sales office East,Mackenzie,Bangalore,Mackenzie-Bangalore,1,
142,END-USE,ZEXP,Sales office East,Amara,Chennai,Amara-Chennai,1,
143,END-USE,ZEND,Sales office East,Ximena,Hyderābād,Ximena-Hyderābād,1,
144,END-USE,ZEND,Sales office East,Sage,Pune,Sage-Pune,1,
145,END-USE,ZEND,Sales office East,Cecilia,Ahmedabad,Cecilia-Ahmedabad,1,
146,END-USE,ZEND,Sales office East,Valeria,Delhi,Valeria-Delhi,1,
147,END-USE,ZEND,Sales office East,Reagan,Hyderābād,Reagan-Hyderābād,1,
148,END-USE,ZEND,Sales office East,Valerie,Kolkāta,Valerie-Kolkāta,1,
149,END-USE,ZEND,Sales office East,Catalina,Mumbai,Catalina-Mumbai,1,
150,END-USE,ZEND,Sales office East,River,Delhi,River-Delhi,1,
151,EXP-CONS,ZEND,Sales office East,Magnolia,Mumbai,Magnolia-Mumbai,1,
152,EXP-CONS,ZEND,Sales office East,Kehlani,Kolkāta,Kehlani-Kolkāta,1,
153,EXP-CONS,ZEND,Sales office East,Summer,Bangalore,Summer-Bangalore,1,
154,EXP-CONS,ZEND,Sales office East,Ashley,Chennai,Ashley-Chennai,1,
155,EXP-CONS,ZEND,Sales office East,Andrea,Delhi,Andrea-Delhi,1,
156,EXP-CONS,ZEND,Sales office East,Isabel,Hyderābād,Isabel-Hyderābād,1,
157,EXP-CONS,ZEND,Sales office East,Oakley,Kolkāta,Oakley-Kolkāta,1,
158,EXP-CONS,ZEND,Sales office East,Olive,Mumbai,Olive-Mumbai,1,
159,EXP-CONS,ZEND,Sales office East,Oaklynn,Prayagraj,Oaklynn-Prayagraj,1,
160,EXP-CONS,ZEND,Sales office East,Ember,Lucknow,Ember-Lucknow,1,
161,EXP-CUST,ZEND,Sales office East,Kaylee,Jaipur,Kaylee-Jaipur,1,
162,EXP-CUST,ZEND,Sales office East,Georgia,Delhi,Georgia-Delhi,1,
163,EXP-CUST,ZDOM,Sales office East,Juliette,Mumbai,Juliette-Mumbai,1,
164,EXP-CUST,ZDOM,Sales office East,Anastasia,Delhi,Anastasia-Delhi,1,
165,EXP-CUST,ZDOM,Sales office East,Genevieve,Hyderābād,Genevieve-Hyderābād,1,
166,EXP-CUST,ZDOM,Sales office East,Katherine,Kolkāta,Katherine-Kolkāta,1,
167,EXP-CUST,ZDOM,Sales office East,Blakely,Mumbai,Blakely-Mumbai,1,
168,EXP-CUST,ZDOM,Sales office East,Reese,Pune,Reese-Pune,1,
169,EXP-CUST,ZDOM,Sales office East,Amaya,Ahmedabad,Amaya-Ahmedabad,1,
170,EXP-CUST,ZDOM,Sales office East,Emerson,Sūrat,Emerson-Sūrat,1,
171,INTERDIV_CUST,ZDOM,Sales office East,Brianna,Prayagraj,Brianna-Prayagraj,1,
172,INTERDIV_CUST,ZDOM,Sales office East,June,Lucknow,June-Lucknow,1,
173,INTERDIV_CUST,ZDOM,Sales office East,Alani,Delhi,Alani-Delhi,1,
174,INTERDIV_CUST,ZDOM,Sales office East,Lainey,Hyderābād,Lainey-Hyderābād,1,
175,INTERDIV_CUST,ZDOM,Sales office East,Arianna,Kolkāta,Arianna-Kolkāta,1,
176,INTERDIV_CUST,ZDOM,Sales office East,Rosalie,Mumbai,Rosalie-Mumbai,1,
177,INTERDIV_CUST,ZDOM,Sales office East,Sara,Bangalore,Sara-Bangalore,1,
178,INTERDIV_CUST,ZDOM,Sales office East,Jasmine,Chennai,Jasmine-Chennai,1,
179,INTERDIV_CUST,ZDOM,Sales office East,Ruth,Hyderābād,Ruth-Hyderābād,1,
180,INTERDIV_CUST,ZDOM,Sales office west,Adalyn,Pune,Adalyn-Pune,1,
181,DOM-CONS,ZDOM,Sales office west,Ada,Ahmedabad,Ada-Ahmedabad,1,
182,DOM-CONS,ZDOM,Sales office west,Bailey,Delhi,Bailey-Delhi,1,
183,DOM-CONS,ZDOM,Sales office west,Ariella,Hyderābād,Ariella-Hyderābād,1,
184,DOM-CONS,ZEXP,Sales office west,Wren,Kolkāta,Wren-Kolkāta,1,
185,DOM-CONS,ZEXP,Sales office west,Myla,Mumbai,Myla-Mumbai,1,
186,DOM-CONS,ZEXP,Sales office west,Khloe,Jaipur,Khloe-Jaipur,1,
187,DOM-CONS,ZEXP,Sales office west,Callie,Delhi,Callie-Delhi,1,
188,DOM-CONS,ZEXP,Sales office west,Elsie,Mumbai,Elsie-Mumbai,1,
189,DOM-CONS,ZEXP,Sales office west,Alexandra,Kolkāta,Alexandra-Kolkāta,1,
190,DOM-CONS,ZEXP,Sales office west,Ryleigh,Bangalore,Ryleigh-Bangalore,1,
191,DOM-CUST,ZEXP,Sales office west,Faith,Delhi,Faith-Delhi,1,
192,DOM-CUST,ZEXP,Sales office west,Norah,Hyderābād,Norah-Hyderābād,1,
193,DOM-CUST,ZEXP,Sales office west,Margot,Kolkāta,Margot-Kolkāta,1,
194,DOM-CUST,ZEXP,Sales office west,Zuri,Mumbai,Zuri-Mumbai,1,
195,DOM-CUST,ZEXP,Sales office west,Journee,Sūrat,Journee-Sūrat,1,
196,DOM-CUST,ZEXP,Sales office west,Aspen,Prayagraj,Aspen-Prayagraj,1,
197,DOM-CUST,ZEXP,Sales office west,Gemma,Lucknow,Gemma-Lucknow,1,
198,DOM-CUST,ZEXP,Sales office west,Kylie,Jaipur,Kylie-Jaipur,1,
199,DOM-CUST,ZEXP,Sales office west,Molly,Jaipur,Molly-Jaipur,1,
200,DOM-CUST,ZEXP,Sales office west,Blake,Delhi,Blake-Delhi,1,
201,END-USE,ZEXP,Sales office west,Zara,Delhi,Zara-Delhi,1,
202,END-USE,ZEXP,Sales office west,Alaina,Hyderābād,Alaina-Hyderābād,1,
203,END-USE,ZEXP,Sales office west,Alana,Kolkāta,Alana-Kolkāta,1,
204,END-USE,ZEND,Sales office west,Brynlee,Mumbai,Brynlee-Mumbai,1,
205,END-USE,ZEND,Sales office west,Amy,Chennai,Amy-Chennai,1,
206,END-USE,ZEND,Sales office west,Annie,Hyderābād,Annie-Hyderābād,1,
207,END-USE,ZEND,Sales office west,Saylor,Pune,Saylor-Pune,1,
208,END-USE,ZEND,Sales office west,Ana,Ahmedabad,Ana-Ahmedabad,1,
209,END-USE,ZEND,Sales office west,Amira,Sūrat,Amira-Sūrat,1,
210,END-USE,ZEND,Sales office west,Kimberly,Delhi,Kimberly-Delhi,1,
211,EXP-CONS,ZEND,Sales office west,Noelle,Hyderābād,Noelle-Hyderābād,1,
212,EXP-CONS,ZEND,Sales office west,Kamila,Kolkāta,Kamila-Kolkāta,1,
213,EXP-CONS,ZEND,Sales office west,Morgan,Mumbai,Morgan-Mumbai,1,
214,EXP-CONS,ZEND,Sales office west,Phoebe,Mumbai,Phoebe-Mumbai,1,
215,EXP-CONS,ZEND,Sales office west,Harmony,Kolkāta,Harmony-Kolkāta,1,
216,EXP-CONS,ZEND,Sales office west,Sutton,Bangalore,Sutton-Bangalore,1,
217,EXP-CONS,ZEND,Sales office west,Taylor,Chennai,Taylor-Chennai,1,
218,EXP-CONS,ZEND,Sales office west,Finley,Hyderābād,Finley-Hyderābād,1,
219,EXP-CONS,ZEND,Sales office west,Lilah,Delhi,Lilah-Delhi,1,
220,EXP-CONS,ZEND,Sales office west,Juliana,Hyderābād,Juliana-Hyderābād,1,
221,EXP-CUST,ZEND,Sales office west,Lila,Kolkāta,Lila-Kolkāta,1,
222,EXP-CUST,ZEND,Sales office west,Londyn,Mumbai,Londyn-Mumbai,1,
223,EXP-CUST,ZEND,Sales office west,Kailani,Lucknow,Kailani-Lucknow,1,
224,EXP-CUST,ZDOM,Sales office west,Vera,Jaipur,Vera-Jaipur,1,
225,EXP-CUST,ZDOM,Sales office west,Kaia,Delhi,Kaia-Delhi,1,
226,EXP-CUST,ZDOM,Sales office west,Angela,Mumbai,Angela-Mumbai,1,
227,EXP-CUST,ZDOM,Sales office west,Hallie,Kolkāta,Hallie-Kolkāta,1,
228,EXP-CUST,ZDOM,Sales office west,Diana,Delhi,Diana-Delhi,1,
229,EXP-CUST,ZDOM,Sales office west,Lennon,Hyderābād,Lennon-Hyderābād,1,
230,EXP-CUST,ZDOM,Sales office west,Presley,Kolkāta,Presley-Kolkāta,1,
231,INTERDIV_CUST,ZDOM,Sales office west,Arabella,Mumbai,Arabella-Mumbai,1,
232,INTERDIV_CUST,ZDOM,Sales office west,Aliyah,Ahmedabad,Aliyah-Ahmedabad,1,
233,INTERDIV_CUST,ZDOM,Sales office west,Lilly,Sūrat,Lilly-Sūrat,1,
234,INTERDIV_CUST,ZDOM,Sales office west,Milani,Prayagraj,Milani-Prayagraj,1,
235,INTERDIV_CUST,ZDOM,Sales office west,Jordyn,Lucknow,Jordyn-Lucknow,1,
236,INTERDIV_CUST,ZDOM,Sales office west,Camille,Jaipur,Camille-Jaipur,1,
237,INTERDIV_CUST,ZDOM,Sales office west,Ariel,Delhi,Ariel-Delhi,1,
238,INTERDIV_CUST,ZDOM,Sales office west,Aubree,Hyderābād,Aubree-Hyderābād,1,
239,INTERDIV_CUST,ZDOM,Sales office west,Selena,Kolkāta,Selena-Kolkāta,1,
240,INTERDIV_CUST,ZDOM,Sales office DHQ,Sawyer,Mumbai,Sawyer-Mumbai,1,
241,DOM-CONS,ZDOM,Sales office DHQ,Nyla,Bangalore,Nyla-Bangalore,1,
242,DOM-CONS,ZDOM,Sales office DHQ,Delaney,Chennai,Delaney-Chennai,1,
243,DOM-CONS,ZDOM,Sales office DHQ,Mariana,Hyderābād,Mariana-Hyderābād,1,
244,DOM-CONS,ZDOM,Sales office DHQ,Rachel,Pune,Rachel-Pune,1,
245,DOM-CONS,ZEXP,Sales office DHQ,Adaline,Ahmedabad,Adaline-Ahmedabad,1,
246,DOM-CONS,ZEXP,Sales office DHQ,Leila,Delhi,Leila-Delhi,1,
247,DOM-CONS,ZEXP,Sales office DHQ,Collins,Hyderābād,Collins-Hyderābād,1,
248,DOM-CONS,ZEXP,Sales office DHQ,Lia,Kolkāta,Lia-Kolkāta,1,
249,DOM-CONS,ZEXP,Sales office DHQ,Octavia,Mumbai,Octavia-Mumbai,1,
250,DOM-CONS,ZEXP,Sales office DHQ,Kali,Delhi,Kali-Delhi,1,
251,DOM-CUST,ZEXP,Sales office DHQ,Lena,Mumbai,Lena-Mumbai,1,
252,DOM-CUST,ZEXP,Sales office DHQ,Kiara,Kolkāta,Kiara-Kolkāta,1,
253,DOM-CUST,ZEXP,Sales office DHQ,Kaylani,Bangalore,Kaylani-Bangalore,1,
254,DOM-CUST,ZEXP,Sales office DHQ,Elaina,Chennai,Elaina-Chennai,1,
255,DOM-CUST,ZEXP,Sales office DHQ,Daniela,Delhi,Daniela-Delhi,1,
256,DOM-CUST,ZEXP,Sales office DHQ,Leia,Hyderābād,Leia-Hyderābād,1,
257,DOM-CUST,ZEXP,Sales office DHQ,Gracie,Kolkāta,Gracie-Kolkāta,1,
258,DOM-CUST,ZEXP,Sales office DHQ,Dakota,Mumbai,Dakota-Mumbai,1,
259,DOM-CUST,ZEXP,Sales office DHQ,Elise,Prayagraj,Elise-Prayagraj,1,
260,DOM-CUST,ZEXP,Sales office DHQ,Hope,Lucknow,Hope-Lucknow,1,
261,END-USE,ZEXP,Sales office DHQ,Harlow,Jaipur,Harlow-Jaipur,1,
262,END-USE,ZEXP,Sales office DHQ,Lola,Delhi,Lola-Delhi,1,
263,END-USE,ZEXP,Sales office DHQ,Stevie,Mumbai,Stevie-Mumbai,1,
264,END-USE,ZEXP,Sales office DHQ,Malia,Delhi,Malia-Delhi,1,
265,END-USE,ZEND,Sales office DHQ,Miriam,Hyderābād,Miriam-Hyderābād,1,
266,END-USE,ZEND,Sales office DHQ,Alora,Kolkāta,Alora-Kolkāta,1,
267,END-USE,ZEND,Sales office DHQ,Gia,Mumbai,Gia-Mumbai,1,
268,END-USE,ZEND,Sales office DHQ,Evangeline,Pune,Evangeline-Pune,1,
269,END-USE,ZEND,Sales office DHQ,Brooke,Ahmedabad,Brooke-Ahmedabad,1,
270,END-USE,ZEND,Sales office DHQ,Lilith,Sūrat,Lilith-Sūrat,1,
271,EXP-CONS,ZEND,Sales office DHQ,Sydney,Prayagraj,Sydney-Prayagraj,1,
272,EXP-CONS,ZEND,Sales office DHQ,Ophelia,Lucknow,Ophelia-Lucknow,1,
273,EXP-CONS,ZEND,Sales office DHQ,Alayna,Delhi,Alayna-Delhi,1,
274,EXP-CONS,ZEND,Sales office DHQ,Tatum,Hyderābād,Tatum-Hyderābād,1,
275,EXP-CONS,ZEND,Sales office DHQ,Evie,Kolkāta,Evie-Kolkāta,1,
276,EXP-CONS,ZEND,Sales office DHQ,Rowan,Mumbai,Rowan-Mumbai,1,
277,EXP-CONS,ZEND,Sales office DHQ,Marley,Bangalore,Marley-Bangalore,1,
278,EXP-CONS,ZEND,Sales office DHQ,Daphne,Chennai,Daphne-Chennai,1,
279,EXP-CONS,ZEND,Sales office DHQ,Kayla,Hyderābād,Kayla-Hyderābād,1,
280,EXP-CONS,ZEND,Sales office DHQ,Dahlia,Pune,Dahlia-Pune,1,
281,EXP-CUST,ZEND,Sales office DHQ,Lucille,Ahmedabad,Lucille-Ahmedabad,1,
282,EXP-CUST,ZEND,Sales office DHQ,Blair,Delhi,Blair-Delhi,1,
283,EXP-CUST,ZEND,Sales office DHQ,Adelaide,Hyderābād,Adelaide-Hyderābād,1,
284,EXP-CUST,ZEND,Sales office DHQ,Wrenley,Kolkāta,Wrenley-Kolkāta,1,
285,EXP-CUST,ZDOM,Sales office DHQ,Haven,Mumbai,Haven-Mumbai,1,
286,EXP-CUST,ZDOM,Sales office DHQ,Teagan,Jaipur,Teagan-Jaipur,1,
287,EXP-CUST,ZDOM,Sales office DHQ,Adelyn,Delhi,Adelyn-Delhi,1,
288,EXP-CUST,ZDOM,Sales office DHQ,Alyssa,Mumbai,Alyssa-Mumbai,1,
289,EXP-CUST,ZDOM,Sales office DHQ,Payton,Kolkāta,Payton-Kolkāta,1,
290,EXP-CUST,ZDOM,Sales office DHQ,Jane,Bangalore,Jane-Bangalore,1,
291,INTERDIV_CUST,ZDOM,Sales office DHQ,Mckenna,Delhi,Mckenna-Delhi,1,
292,INTERDIV_CUST,ZDOM,Sales office DHQ,Celeste,Hyderābād,Celeste-Hyderābād,1,
293,INTERDIV_CUST,ZDOM,Sales office DHQ,Juliet,Kolkāta,Juliet-Kolkāta,1,
294,INTERDIV_CUST,ZDOM,Sales office DHQ,Palmer,Mumbai,Palmer-Mumbai,1,
295,INTERDIV_CUST,ZDOM,Sales office DHQ,Maggie,Sūrat,Maggie-Sūrat,1,
